asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
54049796,(2020 OA5),26.9,11.0803882126,24.7765012606,13.4337920495,39622114.08365867,2026-02-18
54252582,(2022 DQ5),24.16,39.1340663147,87.5064325156,11.2923022077,26649211.702696435,2026-02-18
54290522,(2022 OE),25.59,20.2560600865,45.2939273097,7.0202243486,62733791.327334374,2026-02-18
54575242,(2026 AN1),23.74,47.4848397396,106.1793295584,6.5492845839,16722898.801713316,2026-02-18
54597129,(2026 CU),25.64,19.7949758664,44.2629116503,7.9766158719,2074399.46274648,2026-02-18
54603657,(2026 DJ5),25.7,19.2555078188,43.0566244241,22.0896777696,909394.785401869,2026-02-18
54604122,(2026 DS7),26.74,11.9276524644,26.6710417224,15.5457228546,1598446.449206702,2026-02-18
54604299,(2026 DZ10),27.18,9.7399107341,21.7791024963,15.688019213,2074154.675751799,2026-02-18
2427684,427684 (2004 DH2),20.23,239.0864571707,534.6135707332,14.4244484825,21202425.242491476,2026-02-15
3638286,(2013 JK14),25.18,24.4655496172,54.706632051,24.9537973683,53855842.21292877,2026-02-15
3725151,(2015 OS78),21.12,158.691979174,354.846052917,18.7018682704,22497396.884144273,2026-02-15
3774681,(2017 KA3),21.04,164.6474377554,368.1628631423,18.1852656901,51712838.61809963,2026-02-15
3892710,(2019 VB4),26.0,16.7708462163,37.5007521798,4.5803016759,39991864.20333338,2026-02-15
54319144,(2022 UV5),25.67,19.5233786156,43.655601735,5.3417518558,29861509.456732877,2026-02-15
54330721,(2022 WV9),24.45,34.241673084,76.5667086792,13.3205462263,27743292.628265526,2026-02-15
54424573,(2024 CL1),25.74,18.9040551929,42.2707524617,9.9935719914,21493573.529632486,2026-02-15
54467481,(2024 QR1),23.59,50.8809224871,113.773201439,17.5090655082,21141143.746627875,2026-02-15
54602800,(2026 CS3),26.92,10.9788026029,24.5493489316,8.0533915562,4485514.70887618,2026-02-15
54602802,(2026 CV3),30.34,2.2727673228,5.0820622309,5.4126447386,272097.177913951,2026-02-15
54602850,(2026 DF),26.19,15.36579294,34.3589575421,11.5103719893,4641771.150150306,2026-02-15
54604297,(2026 DX10),25.74,18.9040551929,42.2707524617,9.0642861587,3873566.265982531,2026-02-15
54604361,(2026 DC11),26.61,12.6635356293,28.3165265026,9.4882084453,4858896.825477891,2026-02-15
54604518,(2026 DN14),24.84,28.6124453783,63.9793728683,12.4895725615,18175621.935833443,2026-02-15
3080638,(2001 QC34),20.2,242.4124811008,542.0507863358,4.4553149392,16028616.343665423,2026-02-16
3367904,(2007 CT26),23.55,51.8268694616,115.8884031771,8.2795135634,15573153.406304443,2026-02-16
3742054,(2016 CZ30),25.7,19.2555078188,43.0566244241,18.4667960761,45002577.9737757,2026-02-16
54123261,(2021 DR),27.78,7.3884778657,16.521138758,17.9525379529,69081208.02269235,2026-02-16
2612227,612227 (2001 QC34),20.19,243.5314062744,544.5527790857,4.4553118414,16028621.78902789,2026-02-16
54354736,(2023 HF2),25.11,25.2670754154,56.4988982214,13.3691655599,64742614.90784145,2026-02-16
54357980,(2023 JL1),27.29,9.2588058337,20.7033192345,5.2870586676,41291849.31840348,2026-02-16
54547736,(2025 SC11),24.57,32.4007435394,72.4502650757,5.7749053627,26460360.21927608,2026-02-16
54578434,(2026 BX4),20.96,170.8263952629,381.979432159,10.5176131143,2941487.431960017,2026-02-16
54602970,(2026 CO4),20.62,199.78136523,446.7247132921,19.314966109,23202254.69985842,2026-02-16
54602973,(2026 DO),27.66,7.8082727749,17.4598287116,5.6814306609,1442784.958661566,2026-02-16
54603193,(2026 DN1),30.1,2.5383702936,5.6759685287,7.9135996646,401820.192975527,2026-02-16
54603966,(2026 DW6),25.97,17.0041519271,38.0224396088,13.339554448,7342521.545845324,2026-02-16
54604295,(2026 DV10),26.44,13.694777373,30.6224531427,8.0773392826,969629.769365889,2026-02-16
54604542,(2026 DO15),23.4,55.5334911581,124.1766612574,15.451202427,20048387.689715076,2026-02-16
3662879,(2014 DV110),24.9,27.8326768072,62.2357573367,22.0240181339,68767668.27044486,2026-02-22
54327909,(2022 WW2),25.57,20.4434871028,45.713026859,7.5307763489,26951612.472342674,2026-02-22
54340275,(2023 BW5),25.8,18.388867207,41.1187571041,25.2515521344,71511837.6826525,2026-02-22
54419613,(2024 AN2),21.64,124.8978540673,279.2800919383,8.2992464773,11388324.492052613,2026-02-22
